date,china_gdp_growth,china_industrial_output,world_gdp_growth,eu_gdp_growth
2017-01-01,6.8912663621211,5.86828950826812,3.45183009055707,2.81811045546294
2017-01-02,6.890897736476024,5.868081610510988,3.4513427704848003,2.81599623538616
2017-01-03,6.890529110830948,5.867873712753855,3.45085545041253,2.81388201530938
2017-01-04,6.890160485185872,5.867665814996722,3.4503681303402605,2.8117677952326003
2017-01-05,6.889791859540796,5.86745791723959,3.4498808102679903,2.8096535751558203
2017-01-06,6.8894232338957195,5.867250019482458,3.4493934901957206,2.80753935507904
2017-01-07,6.889054608250643,5.8670421217253255,3.4489061701234505,2.80542513500226
2017-01-08,6.888685982605567,5.866834223968192,3.4484188500511808,2.8033109149254805
2017-01-09,6.888317356960491,5.86662632621106,3.447931529978911,2.8011966948487004
2017-01-10,6.887948731315415,5.866418428453928,3.447444209906641,2.7990824747719203
2017-01-11,6.887580105670339,5.8662105306967955,3.446956889834371,2.79696825469514
2017-01-12,6.887211480025263,5.866002632939662,3.446469569762101,2.7948540346183606
2017-01-13,6.886842854380187,5.86579473518253,3.4459822496898314,2.7927398145415805
2017-01-14,6.886474228735111,5.865586837425398,3.4454949296175617,2.7906255944648004
2017-01-15,6.8861056030900345,5.865378939668266,3.4450076095452915,2.7885113743880203
2017-01-16,6.885736977444959,5.865171041911133,3.444520289473022,2.7863971543112407
2017-01-17,6.885368351799883,5.864963144154,3.4440329694007517,2.7842829342344606
2017-01-18,6.884999726154807,5.864755246396868,3.443545649328482,2.7821687141576805
2017-01-19,6.884631100509731,5.864547348639736,3.443058329256212,2.7800544940809004
2017-01-20,6.884262474864655,5.864339450882603,3.442571009183942,2.777940274004121
2017-01-21,6.883893849219579,5.86413155312547,3.4420836891116724,2.7758260539273407
2017-01-22,6.883525223574503,5.863923655368338,3.4415963690394022,2.7737118338505606
2017-01-23,6.8831565979294265,5.863715757611206,3.4411090489671325,2.7715976137737806
2017-01-24,6.88278797228435,5.8635078598540735,3.4406217288948624,2.769483393697001
2017-01-25,6.882419346639274,5.86329996209694,3.4401344088225927,2.767369173620221
2017-01-26,6.882050720994198,5.863092064339808,3.4396470887503225,2.7652549535434408
2017-01-27,6.881682095349122,5.862884166582676,3.439159768678053,2.7631407334666607
2017-01-28,6.881313469704046,5.862676268825544,3.438672448605783,2.761026513389881
2017-01-29,6.88094484405897,5.8624683710684105,3.438185128533513,2.758912293313101
2017-01-30,6.880576218413894,5.862260473311278,3.4376978084612433,2.756798073236321
2017-01-31,6.8802075927688175,5.862052575554146,3.437210488388973,2.754683853159541
2017-02-01,6.879838967123741,5.861844677797014,3.4367231683167034,2.752569633082761
2017-02-02,6.879470341478665,5.861636780039881,3.4362358482444333,2.750455413005981
2017-02-03,6.879101715833589,5.861428882282748,3.4357485281721636,2.748341192929201
2017-02-04,6.878733090188513,5.861220984525616,3.435261208099894,2.746226972852421
2017-02-05,6.878364464543437,5.861013086768484,3.4347738880276237,2.7441127527756413
2017-02-06,6.877995838898361,5.8608051890113515,3.434286567955354,2.741998532698861
2017-02-07,6.877627213253285,5.860597291254218,3.433799247883084,2.739884312622081
2017-02-08,6.877258587608209,5.860389393497086,3.433311927810814,2.737770092545301
2017-02-09,6.8768899619631325,5.860181495739954,3.4328246077385445,2.7356558724685214
2017-02-10,6.876521336318056,5.859973597982822,3.4323372876662743,2.7335416523917413
2017-02-11,6.87615271067298,5.859765700225688,3.4318499675940046,2.731427432314961
2017-02-12,6.875784085027904,5.859557802468556,3.4313626475217345,2.729313212238181
2017-02-13,6.875415459382829,5.859349904711424,3.4308753274494648,2.7271989921614015
2017-02-14,6.875046833737753,5.859142006954292,3.4303880073771946,2.7250847720846214
2017-02-15,6.874678208092677,5.858934109197159,3.429900687304925,2.7229705520078413
2017-02-16,6.874309582447601,5.858726211440026,3.429413367232655,2.7208563319310612
2017-02-17,6.8739409568025245,5.858518313682894,3.428926047160385,2.7187421118542816
2017-02-18,6.873572331157448,5.858310415925762,3.4284387270881154,2.7166278917775015
2017-02-19,6.873203705512372,5.8581025181686295,3.427951407015845,2.7145136717007214
2017-02-20,6.872835079867296,5.857894620411496,3.4274640869435755,2.7123994516239414
2017-02-21,6.87246645422222,5.857686722654364,3.4269767668713054,2.7102852315471617
2017-02-22,6.872097828577144,5.857478824897232,3.4264894467990357,2.7081710114703816
2017-02-23,6.871729202932068,5.8572709271401,3.426002126726766,2.7060567913936016
2017-02-24,6.871360577286992,5.857063029382966,3.425514806654496,2.7039425713168215
2017-02-25,6.870991951641916,5.856855131625834,3.425027486582226,2.701828351240042
2017-02-26,6.8706233259968394,5.856647233868702,3.424540166509956,2.6997141311632618
2017-02-27,6.870254700351763,5.85643933611157,3.4240528464376863,2.6975999110864817
2017-02-28,6.869886074706687,5.8562314383544365,3.4235655263654166,2.6954856910097016
2017-03-01,6.869517449061611,5.856023540597304,3.4230782062931464,2.693371470932922
2017-03-02,6.869148823416535,5.855815642840172,3.4225908862208767,2.691257250856142
2017-03-03,6.868780197771459,5.85560774508304,3.4221035661486066,2.689143030779362
2017-03-04,6.868411572126383,5.8553998473259075,3.421616246076337,2.6870288107025817
2017-03-05,6.868042946481307,5.855191949568774,3.4211289260040667,2.6849145906258016
2017-03-06,6.8676743208362305,5.854984051811642,3.420641605931797,2.682800370549022
2017-03-07,6.867305695191154,5.85477615405451,3.4201542858595273,2.680686150472242
2017-03-08,6.866937069546078,5.8545682562973775,3.419666965787257,2.678571930395462
2017-03-09,6.866568443901002,5.854360358540244,3.4191796457149874,2.676457710318682
2017-03-10,6.866199818255926,5.854152460783112,3.4186923256427173,2.674343490241902
2017-03-11,6.86583119261085,5.85394456302598,3.4182050055704476,2.672229270165122
2017-03-12,6.865462566965774,5.853736665268848,3.4177176854981774,2.670115050088342
2017-03-13,6.865093941320699,5.8535287675117145,3.4172303654259077,2.668000830011562
2017-03-14,6.8647253156756225,5.853320869754582,3.416743045353638,2.665886609934782
2017-03-15,6.864356690030546,5.85311297199745,3.416255725281368,2.663772389858002
2017-03-16,6.86398806438547,5.852905074240318,3.415768405209098,2.661658169781222
2017-03-17,6.863619438740394,5.852697176483185,3.415281085136828,2.6595439497044424
2017-03-18,6.863250813095318,5.852489278726052,3.4147937650645583,2.6574297296276623
2017-03-19,6.862882187450242,5.85228138096892,3.414306444992288,2.6553155095508822
2017-03-20,6.862513561805166,5.852073483211788,3.4138191249200185,2.653201289474102
2017-03-21,6.86214493616009,5.8518655854546555,3.413331804847749,2.651087069397322
2017-03-22,6.861776310515014,5.851657687697522,3.4128444847754786,2.6489728493205424
2017-03-23,6.8614076848699375,5.85144978994039,3.412357164703209,2.6468586292437624
2017-03-24,6.861039059224861,5.851241892183258,3.411869844630939,2.6447444091669823
2017-03-25,6.860670433579785,5.851033994426126,3.411382524558669,2.642630189090202
2017-03-26,6.860301807934709,5.8508260966689924,3.4108952044863994,2.6405159690134226
2017-03-27,6.859933182289633,5.85061819891186,3.4104078844141292,2.6384017489366425
2017-03-28,6.859564556644557,5.850410301154728,3.4099205643418595,2.6362875288598624
2017-03-29,6.859195930999481,5.850202403397596,3.4094332442695894,2.6341733087830823
2017-03-30,6.858827305354405,5.849994505640463,3.4089459241973197,2.6320590887063027
2017-03-31,6.8584586797093285,5.84978660788333,3.4084586041250495,2.6299448686295226
2017-04-01,6.858090054064252,5.849578710126198,3.40797128405278,2.6278306485527425
2017-04-02,6.857721428419176,5.849370812369066,3.40748396398051,2.6257164284759624
2017-04-03,6.8573528027741,5.8491629146119335,3.40699664390824,2.623602208399183
2017-04-04,6.856984177129024,5.8489550168548,3.4065093238359703,2.6214879883224027
2017-04-05,6.856615551483948,5.848747119097668,3.4060220037637,2.6193737682456226
2017-04-06,6.856246925838872,5.848539221340536,3.4055346836914304,2.6172595481688425
2017-04-07,6.855878300193796,5.848331323583404,3.4050473636191603,2.615145328092063
2017-04-08,6.85550967454872,5.84812342582627,3.4045600435468906,2.613031108015283
2017-04-09,6.8551410489036435,5.847915528069138,3.404072723474621,2.6109168879385027
2017-04-10,6.854772423258568,5.847707630312006,3.4035854034023507,2.6088026678617227
2017-04-11,6.854403797613492,5.847499732554874,3.403098083330081,2.606688447784943
2017-04-12,6.854035171968416,5.8472918347977405,3.402610763257811,2.604574227708163
2017-04-13,6.85366654632334,5.847083937040608,3.402123443185541,2.602460007631383
2017-04-14,6.853297920678264,5.846876039283476,3.4016361231132715,2.6003457875546028
2017-04-15,6.852929295033188,5.846668141526344,3.4011488030410013,2.598231567477823
2017-04-16,6.852560669388112,5.8464602437692115,3.4006614829687316,2.596117347401043
2017-04-17,6.8521920437430355,5.846252346012078,3.4001741628964615,2.594003127324263
2017-04-18,6.851823418097959,5.846044448254946,3.3996868428241918,2.591888907247483
2017-04-19,6.851454792452883,5.845836550497814,3.3991995227519216,2.5897746871707032
2017-04-20,6.851086166807807,5.8456286527406816,3.398712202679652,2.587660467093923
2017-04-21,6.850717541162731,5.845420754983548,3.398224882607382,2.585546247017143
2017-04-22,6.850348915517655,5.845212857226416,3.397737562535112,2.583432026940363
2017-04-23,6.849980289872579,5.845004959469284,3.3972502424628424,2.5813178068635834
2017-04-24,6.849611664227503,5.844797061712152,3.396762922390572,2.5792035867868033
2017-04-25,6.849243038582427,5.8445891639550185,3.3962756023183025,2.577089366710023
2017-04-26,6.84887441293735,5.844381266197886,3.3957882822460324,2.574975146633243
2017-04-27,6.848505787292274,5.844173368440754,3.3953009621737626,2.5728609265564635
2017-04-28,6.848137161647198,5.843965470683622,3.394813642101493,2.5707467064796834
2017-04-29,6.847768536002122,5.8437575729264895,3.394326322029223,2.5686324864029033
2017-04-30,6.847399910357046,5.843549675169356,3.393839001956953,2.5665182663261232
2017-05-01,6.84703128471197,5.843341777412224,3.393351681884683,2.5644040462493436
2017-05-02,6.846662659066894,5.843133879655092,3.3928643618124132,2.5622898261725635
2017-05-03,6.846294033421818,5.8429259818979595,3.3923770417401435,2.5601756060957834
2017-05-04,6.8459254077767415,5.842718084140826,3.3918897216678734,2.5580613860190033
2017-05-05,6.845556782131665,5.842510186383694,3.3914024015956037,2.5559471659422233
2017-05-06,6.845188156486589,5.842302288626562,3.3909150815233335,2.5538329458654436
2017-05-07,6.844819530841513,5.84209439086943,3.390427761451064,2.5517187257886635
2017-05-08,6.844450905196438,5.8418864931122965,3.3899404413787937,2.5496045057118835
2017-05-09,6.844082279551362,5.841678595355164,3.389453121306524,2.547490285635104
2017-05-10,6.843713653906286,5.841470697598032,3.3889658012342543,2.5453760655583237
2017-05-11,6.84334502826121,5.8412627998409,3.388478481161984,2.5432618454815437
2017-05-12,6.8429764026161335,5.8410549020837665,3.3879911610897144,2.5411476254047636
2017-05-13,6.842607776971057,5.840847004326634,3.3875038410174443,2.5390334053279835
