feature,importance
aluminum_price_ma7,0.09641546445501169
aluminum_price_lag1,0.09226604673568783
copper_price_monthly,0.08307378612727793
us_construction_spending,0.06003093377632611
aluminum_price_lag5,0.0592463194295246
aluminum_price_ma21,0.05618125949015282
aluminum_price_lag10,0.0479222391385203
us_retail_sales,0.04298794593249891
aluminum_price_lag21,0.0367752106970116
year,0.03661904294631344
aluminum_price_ma63,0.033984193453769795
china_gdp_growth,0.031293285806185726
coal_price_monthly,0.031052772110995563
china_industrial_output,0.030632464526246544
world_gdp_growth,0.02864798126731026
eu_gdp_growth,0.023033184206490264
aluminum_price_lag63,0.018604867699911362
crude_oil_wti_ma21,0.016227619450692118
usd_cny,0.015635906950561208
aluminum_price_vol_63d,0.014692059217420814
